no,bulan,tanggal,pair,metode,arah,timeframe,sesi,lot,entry,sl,tp,risk_rp,reward_rp,rr_target,hasil_wl,hasil_rp,rr_actual,pip,drawdown_pct,running_equity,dd_dari_peak,emosi,alasan_entry,catatan,screenshot
17.0,Bulan 1,2026-06-10 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4127123.0,4192236.0,4060782.0,65113,66341,1.018859521,WIN,,0,-663410,0,594.6,0,Tenang,mengikuti trend nya,trend masih kuat turun ,https://drive.google.com/file/d/1jTRTGWdPl2qKnZbGuu4xF_VklJtaAfju/view?usp=drivesdk
18.0,Bulan 1,2026-06-10 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,62401.18,61401.18,63681.01,,,,LOSS,,,,0,594.6,0,Tenang,trend berubah jadi konsolidasi ,pasang SL bukan di area strong dan entry tidak tunggu konfirmasi yang valid ,https://drive.google.com/file/d/1eS_IePHhHMgCd66_EcpiAeEspVNHZkG4/view?usp=drivesdk
19.0,Bulan 1,2026-06-11 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4033292.0,4124983.0,3941194.0,91691,92098,1.004438822,LOSS,,0,916910,0,594.6,0,Tenang,trend masih kuat turun ,tunggu konfirmasi dulu kalo mau entry langsung sl taro di strong resisten ,https://drive.google.com/file/d/1z7ulux6hQDchfhcAcrLBwupgxUNnUndn/view?usp=drivesdk
20.0,Bulan 1,2026-06-11 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,61735.45,60046.18,64076.71,,,,WIN,,,,0,594.6,0,Tenang,sudah di area support strong dan sudah ada trend kecil ,trend membentuk konsolidasi ,https://drive.google.com/file/d/1ISm5ylytMqGSrgu9vhMIAD_m3WhOsHRQ/view?usp=drivesdk
21.0,Bulan 1,2026-06-11 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4112779.0,4179157.0,3940258.0,66378,172521,2.599068969,LOSS,,0,663780,0,594.6,0,Tenang,sudah di area strong resisten ,trendnya sudah berubah ,https://drive.google.com/file/d/1MpmJ1ipBru4iePlbypAsY55cnqw1U_ft/view?usp=drivesdk
22.0,Bulan 1,2026-06-12 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4219630.0,4185160.0,4321900.0,34470,102270,2.966927763,LOSS,,0,-344700,0,594.6,0,Tenang,trend sudah berubah dan sudah ngbreakot resistennya ,trend masih kuat turun dan belum ngbreakot resisten strong ,https://drive.google.com/file/d/1XZSKDAtO2zIJLKM9JsCFucXiHFTBjZMk/view?usp=drivesdk
23.0,Bulan 1,2026-06-12 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4183700.0,4183700.0,4031424.0,0,152276,,LOSS,,,0,0,594.6,0,Tenang,trend masih kuat turun belum ngbreakot resisten strongnya,trend sudah berubah nah jika di h1 sudah ngbreakot maka trend sudah berubah ,https://drive.google.com/file/d/1nC70HugeZYGNsLRUwPPV9p1K5QtRcWlp/view?usp=drivesdk
24.0,Bulan 1,2026-06-13 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,63530.98,64551.74,61254.53,,,,LOSS,,,,0,594.6,0,Tenang,trend membentuk konsolidasi ,area resisten di break ,https://drive.google.com/file/d/1rYUEffpR07aY6rTxoeI7ejonD4VtsNYU/view?usp=drivesdk
25.0,Bulan 1,2026-06-15 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,64321.33,63576.88,66050.68,,,,WIN,,,,0,594.6,0,Tenang,trend sudah ngbreakot ,sesuai trading plan ,https://drive.google.com/file/d/1XwuxrlNHXMKUt9EoGAAlBciJ5rchXpfV/view?usp=drivesdk
26.0,Bulan 1,2026-06-15 00:00:00,XAUUSD,Breakout Ranging,BUY,H1,,0.01,4302974.0,4244074.0,4369970.0,58900,66996,1.137453311,WIN,,0,-669960,0,594.6,0,Tenang,trend sudah ngbreakot ,sesuai trend ,https://drive.google.com/file/d/1oOCeo3OmzrDXQFrKV5ZJY5yKobI9_Fgs/view?usp=drivesdk
