no,bulan,tanggal,pair,metode,arah,timeframe,sesi,lot,entry,sl,tp,risk_rp,reward_rp,rr_target,hasil_wl,hasil_rp,rr_actual,pip,drawdown_pct,running_equity,dd_dari_peak,emosi,alasan_entry,catatan,screenshot
76.0,Bulan 2,2026-07-09 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,62441.77,62092.95,62827.52,,,,WIN,,,,0,594.6,0,Tenang,sudah ngbreakot resistennya strong sebelum nya,sesuai dengan metodenya ,
77.0,Bulan 2,2026-07-09 00:00:00,XAUUSD,Breakout Ranging,BUY,H1,,0.01,4095000.0,4070129.0,4119943.0,24871,24943,1.002894938,WIN,,0,-249430,0,594.6,0,Tenang,sudah ngbreakot resistennya strong ,sesuai dengan metodenya ,
78.0,Bulan 2,2026-07-09 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,62863.55,63444.27,61940.54,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area strong resisten nya ,masih mengejar resisten strongnya ,
79.0,Bulan 2,2026-07-09 00:00:00,XAUUSD,Breakout Ranging,BUY,H1,,0.01,4127957.0,4111377.0,4146843.0,16580,18886,1.139083233,LOSS,,0,165800,0,594.6,0,Tenang,sudah ngbreakot resisten strong nya ,ngambil area support dulu market masih trend ,
80.0,Bulan 2,2026-07-10 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,4118063.0,4105736.0,4138076.0,12327,20013,1.62350937,LOSS,,0,123270,0,594.6,0,Tenang,sudah di area support strong di trend bulish ,entry terlalu cepet dan SL bukan di support strong nya ,
81.0,Bulan 2,2026-07-10 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,63716.76,64213.61,62889.13,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area strong resisten ,sl bukan di area strong resisten nya,
82.0,Bulan 2,2026-07-13 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4085611.0,4103940.0,4067282.0,18329,18329,1,WIN,,0,-183290,0,594.6,0,Tenang,sudah ngbreakot support strong nya ,sesuai dengan metodenya ,
83.0,Bulan 2,2026-07-13 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,64375.27,64711.15,63581.05,,,,WIN,,,,0,594.6,0,Tenang,sudah di area resisten strongnya ,sesuai dengan metodenya ,
84.0,Bulan 2,2026-07-13 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,63434.96,63765.56,63017.83,,,,WIN,,,,0,594.6,0,Tenang,sudah ngbreakot support strong nya ,sesuai dengan metodenya ,
85.0,Bulan 2,2026-07-13 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4072211.0,4081091.0,4057446.0,8880,14765,1.662725225,WIN,,0,-147650,0,594.6,0,Tenang,sudah ngbreakot support strong nya ,sesuai dengan metodenya ,
86.0,Bulan 2,2026-07-13 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,62735.25,62366.84,63138.85,,,,WIN,,,,0,594.6,0,Tenang,di area support strong nya ,sesuai dengan metodenya ,
87.0,Bulan 2,2026-07-13 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4053835.0,4067047.0,4033581.0,13212,20254,1.533000303,LOSS,,0,132120,0,594.6,0,Tenang,sudah ngbreakot support strong nya ,ngambil area resisten nya dulu,
88.0,Bulan 2,2026-07-13 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4068777.0,4079307.0,4035287.0,10530,33490,3.180436847,LOSS,,0,105300,0,594.6,0,Tenang,sudah di area resisten strongnya dan masih trend nya ,entry bukan di area resisten strongnya ,
89.0,Bulan 2,2026-07-14 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,3998037.0,3983798.0,4022601.0,14239,24564,1.725121146,LOSS,,0,142390,0,594.6,0,Tenang,sudah di area support strong besarnya ,tunggu Konfirmasi yang jelas tunggu area support resisten ke breakout atau revesal ,
90.0,Bulan 2,2026-07-14 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,62190.24,61941.64,62684.28,,,,WIN,,,,0,594.6,0,Tenang,sudah ngbreakot area resisten strongnya ,sesuai dengan metodenya ,
91.0,Bulan 2,2026-07-14 00:00:00,XAUUSD,Breakout Ranging,BUY,H1,,0.01,4013381.0,4000464.0,4038408.0,12917,25027,1.937524193,WIN,,0,-250270,0,594.6,0,Tenang,sudah ngbreakot area resisten strongnya ,sesuai dengan metodenya ,
92.0,Bulan 2,2026-07-14 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,62658.97,62.964.95,61978.19,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area resisten strongnya ,ngbreakot resisten strongnya ,
93.0,Bulan 2,2026-07-14 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,62930.36,62651.03,63213.01,,,,WIN,,,,0,594.6,0,Tenang,sudah ngbreakot strong resisten nya ,sesuai dengan metodenya ,
94.0,Bulan 2,14/07/26,XAUUSD,Breakout Ranging,BUY,H1,,0.01,4095.905,4066.948,4125.349,28.957,29.444,1.016818041,LOSS,,0,289.57,0,594.6,0,Tenang,sudah ngbreakot strong resisten nya ,ngambil area support dulu ,
95.0,Bulan 2,14/07/26,BTCUSD,Breakout Ranging,BUY,H1,,0.01,63295.99,62973.66,63912.44,3.2233,6.1645,1.912480998,WIN,,0,-616.45,0,594.6,0,Tenang,sudah ngbreakot strong resisten nya ,sesuai dengan metodenya ,
96.0,Bulan 2,2026-07-14 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,63876.84,64297.34,63356.77,,,,LOSS,,,,0,594.6,0,Tenang,sudah di area resisten strongnya ,ngbreakot strong resisten nya dan berubah trend nya,
97.0,Bulan 2,2026-07-14 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,4063223.0,4042554.0,4100882.0,20669,37659,1.822003967,LOSS,,0,206690,0,594.6,0,Tenang,sudah berubah trend dan sudah di area support strong nya ,entry bukan di area support strong nya ,
98.0,Bulan 2,2026-07-14 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,64673.41,64189.57,65542.50,,,,LOSS,,,,0,594.6,0,Tenang,sudah ngbreakot area resisten strongnya ,terkena flaseout atau ngambil support ngbreakot dulu baru naik lagih,
99.0,Bulan 2,2026-07-15 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,64442.37,63937.65,65494.91,,,,WIN,,,,0,594.6,0,Tenang,sudah area strong support strong nya ,seusai dengan metodenya ,
100.0,Bulan 2,2026-07-16 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4062914.0,4082331.0,4043318.0,19417,19596,1.009218726,,,0,194170,0,594.6,0,Tenang,sudah di area resisten strongnya ,,
101.0,Bulan 2,2026-07-16 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,64642.74,66063.12,63844.54,,,,,,,,0,594.6,0,Tenang,sudah ngbreakot support strong nya ,,
